Theta [deg],dB(GainPhi) [] - Freq='60GHz' Phi='0deg',dB(GainPhi) [] - Freq='60GHz' Phi='90deg',dB(GainTheta) [] - Freq='60GHz' Phi='0deg',dB(GainTheta) [] - Freq='60GHz' Phi='90deg'
-133,-51.290237,-20.14383849,-7.946450632,-25.77127801
-132,-51.44175051,-19.75660804,-7.883431744,-25.76379251
-131,-51.60512423,-19.38103035,-7.825564139,-25.73703749
-130,-51.77941439,-19.0189092,-7.772318036,-25.69117881
-129,-51.96362625,-18.6709819,-7.723124668,-25.6268258
-128,-52.15670668,-18.33724881,-7.677382457,-25.54497455
-127,-52.35753716,-18.01721359,-7.634463012,-25.44693409
-126,-52.56492735,-17.71005554,-7.593717075,-25.33424328
-125,-52.77760999,-17.41475202,-7.554480491,-25.2085861
-124,-52.99423736,-17.13016501,-7.516080281,-25.07171209
-123,-53.21338038,-16.85510232,-7.477840844,-24.92536661
-122,-53.43353086,-16.58836088,-7.439090296,-24.77123401
-121,-53.65310796,-16.3287575,-7.399166911,-24.61089454
-120,-53.87046961,-16.0751508,-7.357425613,-24.44579466
-119,-54.08392972,-15.82645679,-7.313244427,-24.27722924
-118,-54.29178173,-15.5816599,-7.266030761,-24.10633372
-117,-54.49232864,-15.33982062,-7.215227414,-23.93408407
-116,-54.68391907,-15.10008048,-7.160318126,-23.7613025
-115,-54.8649885,-14.86166491,-7.100832555,-23.58866712
-114,-55.03410376,-14.62388444,-7.036350506,-23.41672405
-113,-55.19000831,-14.38613426,-6.96650531,-23.24590082
-112,-55.3316653,-14.14789257,-6.89098623,-23.07652017
-111,-55.4582951,-13.90871775,-6.809539839,-22.90881364
-110,-55.56940406,-13.66824456,-6.72197033,-22.74293455
-109,-55.66480196,-13.42617955,-6.628138775,-22.57897007
-108,-55.74460633,-13.18229575,-6.527961379,-22.41695232
-107,-55.80923332,-12.93642698,-6.42140683,-22.25686836
-106,-55.85937588,-12.68846174,-6.308492851,-22.09866915
-105,-55.89597116,-12.43833703,-6.189282121,-21.94227749
-104,-55.92016015,-12.18603221,-6.063877707,-21.78759496
-103,-55.93324261,-11.93156289,-5.932418191,-21.63450802
-102,-55.93663067,-11.67497521,-5.795072643,-21.4828933
-101,-55.93180404,-11.41634043,-5.652035606,-21.33262208
-100,-55.92026891,-11.15574993,-5.503522216,-21.18356426
-99,-55.90352233,-10.89331076,-5.349763584,-21.03559155
-98,-55.88302268,-10.62914164,-5.191002522,-20.8885803
-97,-55.86016652,-10.36336949,-5.027489676,-20.74241375
-96,-55.83627143,-10.09612649,-4.859480119,-20.59698391
-95,-55.81256417,-9.827547607,-4.687230414,-20.45219303
-94,-55.79017333,-9.557768566,-4.510996147,-20.30795479
-93,-55.77012551,-9.286924239,-4.331029922,-20.16419517
-92,-55.75334403,-9.015147405,-4.147579789,-20.02085301
-91,-55.74064947,-8.742567823,-3.960888061,-19.87788047
-90,-55.73276101,-8.46931159,-3.77119049,-19.73524315
-89,-55.73029812,-8.195500728,-3.578715748,-19.59292019
-88,-55.73378198,-7.921252957,-3.38368517,-19.45090408
-87,-55.74363602,-7.646681631,-3.18631272,-19.30920044
-86,-55.76018536,-7.37189579,-2.986805123,-19.16782773
-85,-55.78365471,-7.097000306,-2.785362142,-19.02681673
-84,-55.81416446,-6.822096095,-2.582176946,-18.88621014
-83,-55.85172478,-6.547280376,-2.377436556,-18.74606198
